UF;Região Turística;Municípios
MG;Circuito Turístico Montanhas Cafeeiras de Minas;São Pedro da União
MG;Circuito Turístico Montanhas Cafeeiras de Minas;São Sebastião do Paraíso
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Aiuruoca
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Andrelândia
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Arantina
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Bocaina de Minas
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Bom Jardim de Minas
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Cruzília
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Liberdade
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Mindurí
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Passa Vinte
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;São Vicente de Minas
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Seritinga
MG;Circuito Turístico Montanhas Mágicas da Mantiqueira;Serranos
MG;Circuito Turístico Nascentes das Gerais;Capitólio
MG;Circuito Turístico Nascentes das Gerais;Cássia
MG;Circuito Turístico Nascentes das Gerais;Delfinópolis
MG;Circuito Turístico Nascentes das Gerais;Guapé
MG;Circuito Turístico Nascentes das Gerais;Ibirací
MG;Circuito Turístico Nascentes das Gerais;Itaú de Minas
MG;Circuito Turístico Nascentes das Gerais;Passos
MG;Circuito Turístico Nascentes das Gerais;Pratápolis
MG;Circuito Turístico Serras Verdes do Sul de Minas;Bom Repouso
MG;Circuito Turístico Serras Verdes do Sul de Minas;Bueno Brandão
MG;Circuito Turístico Serras Verdes do Sul de Minas;Cachoeira de Minas
MG;Circuito Turístico Serras Verdes do Sul de Minas;Camanducaia
MG;Circuito Turístico Serras Verdes do Sul de Minas;Cambuí
MG;Circuito Turístico Serras Verdes do Sul de Minas;Conceição dos Ouros
MG;Circuito Turístico Serras Verdes do Sul de Minas;Consolação
MG;Circuito Turístico Serras Verdes do Sul de Minas;Córrego do Bom Jesus
MG;Circuito Turístico Serras Verdes do Sul de Minas;Estiva
MG;Circuito Turístico Serras Verdes do Sul de Minas;Extrema
MG;Circuito Turístico Serras Verdes do Sul de Minas;Gonçalves
MG;Circuito Turístico Serras Verdes do Sul de Minas;Inconfidentes
MG;Circuito Turístico Serras Verdes do Sul de Minas;Itapeva
MG;Circuito Turístico Serras Verdes do Sul de Minas;Munhoz
MG;Circuito Turístico Serras Verdes do Sul de Minas;Paraisópolis
MG;Circuito Turístico Serras Verdes do Sul de Minas;Sapucaí Mirim
MG;Circuito Turístico Serras Verdes do Sul de Minas;Senador Amaral
MG;Circuito Turístico Serras Verdes do Sul de Minas;Tocos do Mogi
MG;Circuito Turístico Serras Verdes do Sul de Minas;Toledo
MG;Circuito Turístico Terras Altas da Mantiqueira;Alagoa
MG;Circuito Turístico Terras Altas da Mantiqueira;Delfim Moreira
MG;Circuito Turístico Terras Altas da Mantiqueira;Itamonte
MG;Circuito Turístico Terras Altas da Mantiqueira;Itanhandu
MG;Circuito Turístico Terras Altas da Mantiqueira;Marmelópolis
MG;Circuito Turístico Terras Altas da Mantiqueira;Passa Quatro
MG;Circuito Turístico Terras Altas da Mantiqueira;Pouso Alto
MG;Circuito Turístico Terras Altas da Mantiqueira;São Sebastião do Rio Verde
MG;Circuito Turístico Terras Altas da Mantiqueira;Virgínia
MG;Circuito Turístico Vale Verde e Quedas D'Água;Bom Sucesso
MG;Circuito Turístico Vale Verde e Quedas D'Água;Carmo da Cachoeira
MG;Circuito Turístico Vale Verde e Quedas D'Água;Ingaí
MG;Circuito Turístico Vale Verde e Quedas D'Água;Itumirim
MG;Circuito Turístico Vale Verde e Quedas D'Água;Lavras
MG;Circuito Turístico Vale Verde e Quedas D'Água;Luminárias
MG;Circuito Turístico Vale Verde e Quedas D'Água;Ribeirão Vermelho
MG;Circuito Turístico Vale Verde e Quedas D'Água;São Bento Abade
MG;Circuito Turístico Vale Verde e Quedas D'Água;São Tomé das Letras
MG;Circuito Turístico Águas do Cerrado;Araporã
MG;Circuito Turístico Águas do Cerrado;Cachoeira Dourada
MG;Circuito Turístico Águas do Cerrado;Canápolis
MG;Circuito Turístico Águas do Cerrado;Capinópolis
MG;Circuito Turístico Águas do Cerrado;Centralina
MG;Circuito Turístico Águas do Cerrado;Gurinhatã
MG;Circuito Turístico Águas do Cerrado;Ipiaçu
MG;Circuito Turístico Águas do Cerrado;Ituiutaba
MG;Circuito Turístico Águas do Cerrado;Prata
MG;Circuito Turístico Águas do Cerrado;Santa Vitória
MG;Circuito Turístico dos Lagos;Água Cumprida
MG;Circuito Turístico dos Lagos;Conceição das Alagoas
MG;Circuito Turístico dos Lagos;Conquista
MG;Circuito Turístico dos Lagos;Delta
MG;Circuito Turístico dos Lagos;Fronteira
MG;Circuito Turístico dos Lagos;Nova Ponte
MG;Circuito Turístico dos Lagos;Sacramento
MG;Circuito Turístico dos Lagos;Uberaba
MG;Circuito Turístico Triângulo Mineiro;Abadia dos Dourados
MG;Circuito Turístico Triângulo Mineiro;Araguari
MG;Circuito Turístico Triângulo Mineiro;Cascalho Rico
MG;Circuito Turístico Triângulo Mineiro;Coromandel
MG;Circuito Turístico Triângulo Mineiro;Douradoquara
MG;Circuito Turístico Triângulo Mineiro;Estrela do Sul
MG;Circuito Turístico Triângulo Mineiro;Grupiara
MG;Circuito Turístico Triângulo Mineiro;Indianópolis
MG;Circuito Turístico Triângulo Mineiro;Iraí de Minas
MG;Circuito Turístico Triângulo Mineiro;Monte Alegre de Minas
MG;Circuito Turístico Triângulo Mineiro;Monte Carmelo
MG;Circuito Turístico Triângulo Mineiro;Romaria
MG;Circuito Turístico Triângulo Mineiro;Tupaciguara
MG;Circuito Turístico Triângulo Mineiro;Uberaba
MG;Circuito Turístico Triângulo Mineiro;Uberlândia
MG;Circuito Turístico Caminhos do Cerrado;Coromandel
MG;Circuito Turístico Caminhos do Cerrado;Cruzeiro da Fortaleza
MG;Circuito Turístico Caminhos do Cerrado;Grupiara
MG;Circuito Turístico Caminhos do Cerrado;Guimarania
MG;Circuito Turístico Caminhos do Cerrado;Monte Carmelo
MG;Circuito Turístico Caminhos do Cerrado;Patrocínio
MG;Circuito Turístico Caminhos do Cerrado;Perdizes
MG;Circuito Turístico Caminhos do Cerrado;Serra do Salitre
MG;Circuito Turístico da Canastra;Araxá
MG;Circuito Turístico da Canastra;Bambuí
MG;Circuito Turístico da Canastra;Campos Altos
MG;Circuito Turístico da Canastra;Ibiá
MG;Circuito Turístico da Canastra;Medeiros
MG;Circuito Turístico da Canastra;Perdizes
MG;Circuito Turístico da Canastra;Sacramento
MG;Circuito Turístico da Canastra;São João Batista da Glória
MG;Circuito Turístico da Canastra;São Roque de Minas
MG;Circuito Turístico da Canastra;Tapira
MG;Circuito Turístico da Canastra;Tapiraí
MG;Circuito Turístico Tropeiros de Minas;Carmo do Paranaíba
MG;Circuito Turístico Tropeiros de Minas;Paracatu
MG;Circuito Turístico Tropeiros de Minas;Patos de Minas
MG;Circuito Turístico Tropeiros de Minas;Presidente Olegário
MG;Circuito Turístico Tropeiros de Minas;Rio Paranaíba
MG;Circuito Turístico Tropeiros de Minas;São Gotardo
MG;Circuito Turístico Tropeiros de Minas;Tiros
MG;Circuito Turístico Tropeiros de Minas;Varjão de Minas
MG;Circuito Turístico Tropeiros de Minas;Vazante
MG;Circuito Turístico Campos Vertentes;Carmo da Mata
MG;Circuito Turístico Campos Vertentes;Carmo do Cajuru
MG;Circuito Turístico Campos Vertentes;Carmópolis de Minas
MG;Circuito Turístico Campos Vertentes;Cláudio
MG;Circuito Turístico Campos Vertentes;Desterro de Entre Rios
MG;Circuito Turístico Campos Vertentes;Oliveira
MG;Circuito Turístico Campos Vertentes;Passa Tempo
MG;Circuito Turístico Campos Vertentes;Piracema
MG;Circuito Turístico Campos Vertentes;Santo Antônio do Amparo
MG;Circuito Turístico Campos Vertentes;São Francisco de Paula
MG;Circuito Turístico Rota dos Tropeiros;Arcos
MG;Circuito Turístico Rota dos Tropeiros;Formiga
MG;Circuito Turístico Rota dos Tropeiros;Itapecerica
MG;Circuito Turístico Rota dos Tropeiros;Lagoa da Prata
MG;Circuito Turístico Rota dos Tropeiros;Santo Antonio do Monte
MG;Circuito Turístico Grutas e Mar de Minas;Arcos
MG;Circuito Turístico Grutas e Mar de Minas;Boa Esperança
MG;Circuito Turístico Grutas e Mar de Minas;Córrego Fundo
MG;Circuito Turístico Grutas e Mar de Minas;Formiga
MG;Circuito Turístico Grutas e Mar de Minas;Iguatama
MG;Circuito Turístico Grutas e Mar de Minas;Japaraíba
MG;Circuito Turístico Grutas e Mar de Minas;Pains
MG;Circuito Turístico Grutas e Mar de Minas;Pimenta
MG;Circuito Turístico Urucuia Grande Sertão;Arinos
MG;Circuito Turístico Urucuia Grande Sertão;Bonfinópolis de Minas
MG;Circuito Turístico Urucuia Grande Sertão;Buritis
MG;Circuito Turístico Urucuia Grande Sertão;Chapada Gaúcha
MG;Circuito Turístico Urucuia Grande Sertão;Formoso
MG;Circuito Turístico Urucuia Grande Sertão;Pintópolis
MG;Circuito Turístico Urucuia Grande Sertão;Riachinho
MG;Circuito Turístico Urucuia Grande Sertão;Uruama de Minas
MG;Circuito Turístico Urucuia Grande Sertão;Urucuia
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Augusto de Lima
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Buenópolis
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Claro dos Poções
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Engenheiro Navarro
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Francisco Dumont
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Jequitaí
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Joaquim Felício
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Monjolos
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Olhos D'água
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Santo Hipólito
MG;Circuito Turístico Serra do Cabral de Minas e Cachoeiras;Várzea da Palma
MG;Circuito Turístico Velho Chico;Bonito de Minas
MG;Circuito Turístico Velho Chico;Cônego Marinho
MG;Circuito Turístico Velho Chico;Itacarambi
MG;Circuito Turístico Velho Chico;Jaíba
MG;Circuito Turístico Velho Chico;Januária
MG;Circuito Turístico Velho Chico;Juvenília
MG;Circuito Turístico Velho Chico;Luislândia
MG;Circuito Turístico Velho Chico;Manga
MG;Circuito Turístico Velho Chico;Matias Cardoso
MG;Circuito Turístico Velho Chico;Miravânia
MG;Circuito Turístico Velho Chico;Montalvânia
MG;Circuito Turístico Velho Chico;Pedras de Maria da Cruz
MG;Circuito Turístico Velho Chico;São Francisco
MG;Circuito Turístico Velho Chico;São João das Missões
MG;Circuito Turístico das Pedras Preciosas;Água Boa
MG;Circuito Turístico das Pedras Preciosas;Caraí
MG;Circuito Turístico das Pedras Preciosas;Carlos Chagas
MG;Circuito Turístico das Pedras Preciosas;Coluna
MG;Circuito Turístico das Pedras Preciosas;Franciscópolis
MG;Circuito Turístico das Pedras Preciosas;Frei Lago Negro
MG;Circuito Turístico das Pedras Preciosas;Gonzaga
MG;Circuito Turístico das Pedras Preciosas;Itaipé
MG;Circuito Turístico das Pedras Preciosas;Itambacuri
MG;Circuito Turístico das Pedras Preciosas;José Raydan
MG;Circuito Turístico das Pedras Preciosas;Malacacheta
MG;Circuito Turístico das Pedras Preciosas;Materlândia
MG;Circuito Turístico das Pedras Preciosas;Nanuque
MG;Circuito Turístico das Pedras Preciosas;Paulista
MG;Circuito Turístico das Pedras Preciosas;Poté
MG;Circuito Turístico das Pedras Preciosas;São José Jacuri
MG;Circuito Turístico das Pedras Preciosas;São Sebastião do Maranhão
MG;Circuito Turístico das Pedras Preciosas;Teófilo Otoni
MG;Circuito Turístico Mata Atlântica de Minas;Antônio Dias
MG;Circuito Turístico Mata Atlântica de Minas;Belo Oriente
MG;Circuito Turístico Mata Atlântica de Minas;Coronel Fabriciano
MG;Circuito Turístico Mata Atlântica de Minas;Dionísio
MG;Circuito Turístico Mata Atlântica de Minas;Ipatinga
MG;Circuito Turístico Mata Atlântica de Minas;Jaguaraçu
MG;Circuito Turístico Mata Atlântica de Minas;Marliéria
MG;Circuito Turístico Mata Atlântica de Minas;Mesquita
MG;Circuito Turístico Mata Atlântica de Minas;Santana do Paraíso
MG;Circuito Turístico Mata Atlântica de Minas;São Domingos do Prata
MG;Circuito Turístico Mata Atlântica de Minas;São José do Goiabal
MG;Circuito Turístico Mata Atlântica de Minas;Timóteo
MG;Circuito Turístico Trilhas do Rio Doce;Aimorés
MG;Circuito Turístico Trilhas do Rio Doce;Conselheiro Pena
MG;Circuito Turístico Trilhas do Rio Doce;Coroaci
MG;Circuito Turístico Trilhas do Rio Doce;Galiléia
MG;Circuito Turístico Trilhas do Rio Doce;Governador Valadares
MG;Circuito Turístico Trilhas do Rio Doce;Guanhães
MG;Circuito Turístico Trilhas do Rio Doce;Peçanha
MG;Circuito Turístico Trilhas do Rio Doce;Resplendor
MG;Circuito Turístico Trilhas do Rio Doce;Santa Efigênia de Minas
MG;Circuito Turístico Trilhas do Rio Doce;Santa Maria do Suaçuí
MG;Circuito Turístico Trilhas do Rio Doce;São João Evangelista
MG;Circuito Turístico Trilhas do Rio Doce;São José da Safira
MG;Circuito Turístico Trilhas do Rio Doce;São Pedro do Suaçui
MG;Circuito Turístico Trilhas do Rio Doce;Virginópolis
MG;Circuito Turístico Rio Serras do Espinhaço;Braúnas
MG;Circuito Turístico Rio Serras do Espinhaço;Carmésia
MG;Circuito Turístico Rio Serras do Espinhaço;Dom Joaquim
MG;Circuito Turístico Rio Serras do Espinhaço;Dores de Guanhães
MG;Circuito Turístico Rio Serras do Espinhaço;Ferros
MG;Circuito Turístico Rio Serras do Espinhaço;Sabinópolis
MG;Circuito Turístico Rio Serras do Espinhaço;Santo Antônio do Rio Abaixo
MG;Circuito Turístico Rio Serras do Espinhaço;Senhora do Porto
PA;Pólo Belém;Belém
PA;Pólo Marajó;Salvaterra
PA;Pólo Marajó;Soure
PA;Pólo Tapajós;Alenquer
PA;Pólo Tapajós;Monte Alegre
PA;Pólo Tapajós;Óbidos
PA;Pólo Tapajós;Oriximiná
PA;Pólo Tapajós;Santarém
PA;Pólo Araguaia - Tocantins;Barcarena
PA;Pólo Araguaia - Tocantins;Conceição do Araguaia
PA;Pólo Araguaia - Tocantins;Marabá
PA;Pólo Araguaia - Tocantins;Tucuruí
PA;Pólo Amazônia Atlântica;Bragança
PA;Pólo Amazônia Atlântica;Marapanim
PA;Pólo Amazônia Atlântica;Salinópolis
PA;Pólo Amazônia Atlântica;Vigia
PA;Pólo Xingu;Altamira
PB;Região Turística do Litoral;Bayeux
PB;Região Turística do Litoral;Baía da Traição
PB;Região Turística do Litoral;Cabedelo
PB;Região Turística do Litoral;Conde
PB;Região Turística do Litoral;Cruz do Espírito Santo
PB;Região Turística do Litoral;João Pessoa
PB;Região Turística do Litoral;Lucena
PB;Região Turística do Litoral;Mamanguape
PB;Região Turística do Litoral;Marcação
PB;Região Turística do Litoral;Mataraca
PB;Região Turística do Litoral;Pilar
PB;Região Turística do Litoral;Pitimbú
PB;Região Turística do Litoral;Rio Tinto
PB;Região Turística do Litoral;Santa Rita
PB;Região Turística do Litoral;Sapé
PB;Região Turística do Agreste;Algodão de Jandaíra
PB;Região Turística do Agreste;Araruna
PB;Região Turística do Agreste;Campina Grande
PB;Região Turística do Agreste;Fagundes
PB;Região Turística do Agreste;Ingá
PB;Região Turística do Agreste;Pedra Lavrada
PB;Região Turística do Agreste;Picuí
PB;Região Turística do Agreste;Pocinhos
PB;Região Turística do Agreste;Queimadas
PB;Região Turística do Brejo;Alagoa Grande
PB;Região Turística do Brejo;Alagoa Nova
PB;Região Turística do Brejo;Arara
PB;Região Turística do Brejo;Areia
PB;Região Turística do Brejo;Bananeiras
PB;Região Turística do Brejo;Guarabira
PB;Região Turística do Brejo;Pilões
PB;Região Turística do Brejo;Pirpirituba
PB;Região Turística do Brejo;Serraria
PB;Região Turística do Cariri;Boa Vista
PB;Região Turística do Cariri;Boqueirão
PB;Região Turística do Cariri;Cabaceiras
PB;Região Turística do Cariri;Monteiro
PB;Região Turística do Cariri;Prata
PB;Região Turística do Cariri;São João do Cariri
PB;Região Turística do Cariri;Serra Branca
PB;Região Turística do Cariri;Sumé
PB;Região Turística do Cariri;Taperoá
PB;Região Turística do Sertão;Aparecida
PB;Região Turística do Sertão;Cajazeiras
PB;Região Turística do Sertão;Coremas
PB;Região Turística do Sertão;Maturéia
PB;Região Turística do Sertão;Patos
PB;Região Turística do Sertão;Piancó
PB;Região Turística do Sertão;Pombal
PB;Região Turística do Sertão;Santa Luzia
PB;Região Turística do Sertão;São Bento
PB;Região Turística do Sertão;São João do Rio do Peixe
PB;Região Turística do Sertão;São Mamede
PB;Região Turística do Sertão;Sousa
PB;Região Turística do Sertão;Teixeira
PB;Região Turística do Sertão;Triunfo
PB;Região Turística do Sertão;Vieirópolis
PR;Litoral;Antonina
PR;Litoral;Guaraqueçaba
PR;Litoral;Guaratuba
PR;Litoral;Matinhos
PR;Litoral;Morretes
PR;Litoral;Paranaguá
PR;Litoral;Pontal do Paraná
PR;Metropolitana de Curitiba;Adrianópolis
PR;Metropolitana de Curitiba;Agudos do Sul
PR;Metropolitana de Curitiba;Almirante Tamandaré
PR;Metropolitana de Curitiba;Araucária
PR;Metropolitana de Curitiba;Balsa Nova
PR;Metropolitana de Curitiba;Bocaiúva do Sul
PR;Metropolitana de Curitiba;Campina Grande do Sul
PR;Metropolitana de Curitiba;Campo do Tenente
PR;Metropolitana de Curitiba;Campo Largo
PR;Metropolitana de Curitiba;Campo Magro
PR;Metropolitana de Curitiba;Cerro Azul
PR;Metropolitana de Curitiba;Colombo
PR;Metropolitana de Curitiba;Contenda
PR;Metropolitana de Curitiba;Curitiba
PR;Metropolitana de Curitiba;Dr. Ulysses
PR;Metropolitana de Curitiba;Fazenda Rio Grande
PR;Metropolitana de Curitiba;Itaperuçu
PR;Metropolitana de Curitiba;Lapa
PR;Metropolitana de Curitiba;Mandirituba
PR;Metropolitana de Curitiba;Piên
PR;Metropolitana de Curitiba;Pinhais
PR;Metropolitana de Curitiba;Piraquara
PR;Metropolitana de Curitiba;Quatro Barras
PR;Metropolitana de Curitiba;Quitandinha
PR;Metropolitana de Curitiba;Rio Branco do Sul
PR;Metropolitana de Curitiba;Rio Negro
PR;Metropolitana de Curitiba;São José dos Pinhais
PR;Metropolitana de Curitiba;Tijucas do Sul
PR;Metropolitana de Curitiba;Tunas do Paraná
PR;Campos Gerais;Arapoti
PR;Campos Gerais;Carambeí
PR;Campos Gerais;Castro
PR;Campos Gerais;Curiúva
PR;Campos Gerais;Imbaú
PR;Campos Gerais;Ipiranga
PR;Campos Gerais;Ivaí
PR;Campos Gerais;Jaguariaíva
PR;Campos Gerais;Ortigueira
PR;Campos Gerais;Palmeira
PR;Campos Gerais;Piraí do Sul
PR;Campos Gerais;Ponta Grossa
PR;Campos Gerais;Porto Amazonas
PR;Campos Gerais;Reserva
PR;Campos Gerais;São João do Triunfo
PR;Campos Gerais;Sengés
PR;Campos Gerais;Telêmaco Borba
PR;Campos Gerais;Tibagi
PR;Campos Gerais;Ventania
PR;Norte;Abatiá
PR;Norte;Alvorada do Sul
PR;Norte;Andirá
PR;Norte;Apucarana
PR;Norte;Arapongas
PR;Norte;Arapuã
PR;Norte;Ariranha do Iaví
PR;Norte;Assaí
PR;Norte;Bandeirantes
PR;Norte;Barra do Jacaré
PR;Norte;Bela Vista do Paraíso
PR;Norte;Bom Sucesso
PR;Norte;Borrazópolis
PR;Norte;Cafeara
PR;Norte;Califórnia
PR;Norte;Cambará
PR;Norte;Cambé
PR;Norte;Cambira
PR;Norte;Carlópolis
PR;Norte;Centenário do Sul
PR;Norte;Congonhinhas
PR;Norte;Conselheiro Mairinck
PR;Norte;Cornélio Procópio
PR;Norte;Cruzmaltina
PR;Norte;Faxinal
PR;Norte;Figueira
PR;Norte;Florestópolis
PR;Norte;Godoy Moreira
PR;Norte;Grandes Rios
PR;Norte;Guapirama
PR;Norte;Guaraci
PR;Norte;Ibaiti
PR;Norte;Ibiporã
PR;Norte;Itambaracá
PR;Norte;Ivaiporã
PR;Norte;Jaboti
PR;Norte;Jacarezinho
PR;Norte;Jaguapitã
PR;Norte;Jandaia do Sul
PR;Norte;Japira
PR;Norte;Jardim Alegre
PR;Norte;Jataizinho
PR;Norte;Joaquim Távora
PR;Norte;Jundiaí do Sul
PR;Norte;Kaloré
PR;Norte;Leópolis
PR;Norte;Lidianópolis
PR;Norte;Londrina
PR;Norte;Lunardelli
PR;Norte;Lupionópolis
PR;Norte;Marilândia do Sul
PR;Norte;Marumbi
PR;Norte;Mauá da Serra
PR;Norte;Miraselva
PR;Norte;Nova América da Colina
PR;Norte;Nova Fátima
PR;Norte;Nova Santa Bárbara
PR;Norte;Novo Itacolomi
PR;Norte;Pinhalão
PR;Norte;Pitangueiras
PR;Norte;Porecatu
PR;Norte;Prado Ferreira
PR;Norte;Primeiro de Maio
PR;Norte;Quatiguá
PR;Norte;Rancho Alegre
PR;Norte;Ribeirão Claro
PR;Norte;Ribeirão do Pinhal
PR;Norte;Rio Bom
PR;Norte;Rio Branco do Ivaí
PR;Norte;Rolândia
PR;Norte;Rosário do Ivaí
PR;Norte;Sabáudia
PR;Norte;Salto do Itararé
PR;Norte;Santa Amélia
PR;Norte;Santa Cecília do Pavão
PR;Norte;Santa Mariana
PR;Norte;Santana do Itararé
PR;Norte;Santo Antônio da Platina
PR;Norte;Santo Antônio do Paraíso
PR;Norte;São Jerônimo da Serra
PR;Norte;São João do Ivaí
PR;Norte;São José da Boa Vista
PR;Norte;São Pedro do Ivaí
PR;Norte;São Sebastião da Amoreira
PR;Norte;Sapopema
PR;Norte;Sertanópolis
PR;Norte;Serteneja
PR;Norte;Siqueira Campos
PR;Norte;Tamarana
PR;Norte;Tomazina
PR;Norte;Uraí
PR;Norte;Wenceslau Braz
PR;Noroeste;Altamira do Paraná
PR;Noroeste;Alto Paraíso
PR;Noroeste;Alto Paraná
PR;Noroeste;Alto Piquiri
PR;Noroeste;Altônia
PR;Noroeste;Amaporã
PR;Noroeste;Ângulo
PR;Noroeste;Araruna
PR;Noroeste;Astorga
PR;Noroeste;Atalaia
PR;Noroeste;Barbosa Ferraz
PR;Noroeste;Boa Esperança
PR;Noroeste;Brasilândia do Sul
PR;Noroeste;Cafezal do Sul
PR;Noroeste;Campina da Lagoa
PR;Noroeste;Campo Mourão
PR;Noroeste;Cianorte
PR;Noroeste;Cidade Gaúcha
PR;Noroeste;Colorado
PR;Noroeste;Corumbataí do Sul
PR;Noroeste;Cruzeiro do Oeste
PR;Noroeste;Cruzeiro do Sul
PR;Noroeste;Diamante do Norte
PR;Noroeste;Douradina
PR;Noroeste;Doutor Camargo
PR;Noroeste;Engenheiro Beltrão
PR;Noroeste;Esperança Nova
PR;Noroeste;Farol
PR;Noroeste;Fênix
PR;Noroeste;Floraí
PR;Noroeste;Floresta
PR;Noroeste;Flórida
PR;Noroeste;Francisco Alves
PR;Noroeste;Goioerê
PR;Noroeste;Guairaçá
PR;Noroeste;Guaporema
PR;Noroeste;Icaraíma
PR;Noroeste;Iguaraçu
PR;Noroeste;Inajá
PR;Noroeste;Indianópolis
PR;Noroeste;Iporã
PR;Noroeste;Itaguajé
PR;Noroeste;Itambé
PR;Noroeste;Itaúna do Sul
PR;Noroeste;Ivaté
PR;Noroeste;Ivatuba
PR;Noroeste;Janiópolis
PR;Noroeste;Japurá
PR;Noroeste;Jardim Olinda
PR;Noroeste;Juranda
PR;Noroeste;Jussara
PR;Noroeste;Loanda
PR;Noroeste;Lobato
PR;Noroeste;Luiziana
PR;Noroeste;Mamborê
PR;Noroeste;Mandaguaçu
PR;Noroeste;Mandaguari
PR;Noroeste;Maria Helena
PR;Noroeste;Marialva
PR;Noroeste;Marilena
PR;Noroeste;Mariluz
PR;Noroeste;Maringá
PR;Noroeste;Mirador
PR;Noroeste;Moreira Sales
PR;Noroeste;Munhoz de Melo
PR;Noroeste;Nossa Senhora das Graças
PR;Noroeste;Nova Aliança do Ivaí
PR;Noroeste;Nova Cantu
PR;Noroeste;Nova Esperança
PR;Noroeste;Nova Londrina
PR;Noroeste;Nova Olímpia
PR;Noroeste;Ourizona
PR;Noroeste;Paiçandu
PR;Noroeste;Paraíso do Norte
PR;Noroeste;Paranacity
PR;Noroeste;Paranapoema
PR;Noroeste;Paranavaí
PR;Noroeste;Peabiru
PR;Noroeste;Perobal
PR;Noroeste;Pérola
PR;Noroeste;Planaltina do Paraná
PR;Noroeste;Porto Rico
PR;Noroeste;Presidente Castelo Branco
PR;Noroeste;Quarto Centenário
PR;Noroeste;Querência do Norte
PR;Noroeste;Quinta do Sol
PR;Noroeste;Rancho Alegre d´ Oeste
PR;Noroeste;Rondon
PR;Noroeste;Santa Cruz do Monte Castelo
PR;Noroeste;Santa Fé
PR;Noroeste;Santa Inês
PR;Noroeste;Santa Isabel do Ivaí
PR;Noroeste;Santa Mônica
PR;Noroeste;Santo Antônio do Caiuá
PR;Noroeste;Santo Inácio
PR;Noroeste;São Carlos do Ivaí
PR;Noroeste;São João do Caiuá
PR;Noroeste;São Jorge do Ivaí
PR;Noroeste;São Jorge do Patrocínio
PR;Noroeste;São Manoel do Paraná
PR;Noroeste;São Pedro do Paraná
PR;Noroeste;São Tomé
PR;Noroeste;Sarandi
PR;Noroeste;Tamboara
PR;Noroeste;Tapejara
PR;Noroeste;Tapira
PR;Noroeste;Terra Boa
PR;Noroeste;Terra Rica
PR;Noroeste;Tuneiras do Oeste
PR;Noroeste;Ubiratã
PR;Noroeste;Umuarama
PR;Noroeste;Uniflor
PR;Noroeste;Xambrê
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Anahy
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Assis Chateaubriand
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Boa Vista da Aparecida
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Braganey
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Cafelândia
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Capitão Leônidas Marques
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Cascavel
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Céu Azul
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Corbélia
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Diamante D'Oeste
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Entre Rios D'Oeste
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Formosa do Oeste
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Foz do Iguaçu
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Guaíra
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Iguatu
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Iracema do Oeste
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Itaipulândia
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Jesuítas
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Lindoeste
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Marechal Cândido Rondon
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Maripá
PR;Oeste e Municípios Lindeiros ao Lago de Itaipu;Matelândia
